id;Nama;Age;Balanced;No 2b Thread-No;No 3 Thread-No;Previous Balanced;Average Balanced;No 1 Thread-No;Free Transfer;No 2a Thread-No
57;Ryan;33;202;16;6;64;115;5;3;0
58;Adrian;40;191;13;2;77;116;5;0;0
59;Miles;32;124;0;2;134;124;5;5;16
60;Eli;23;72;0;1;170;116;5;3;0
61;Nolan;20;132;0;2;91;106;5;5;13
62;Christian;21;216;14;7;81;131;5;2;0
63;Aaron;21;155;0;7;124;134;5;5;13
64;Cameron;29;229;5;6;174;184;5;1;0
65;Ezekiel;50;149;0;7;112;125;5;5;13
66;Colton;27;143;0;6;154;143;5;5;5
67;Luca;29;63;0;1;96;74;5;4;0
68;Landon;52;224;5;7;100;144;5;2;0
69;Hunter;36;190;13;2;82;118;5;2;0
70;Jonathan;37;73;0;2;171;117;5;2;0
71;Santiago;43;128;0;2;154;136;5;5;14
72;Axel;31;136;0;2;95;110;5;5;16
73;Easton;46;101;0;7;168;129;5;1;0
74;Cooper;43;116;0;6;197;151;14;5;16
75;Jeremiah;30;104;0;2;191;142;5;2;0
76;Angel;28;92;0;7;124;103;14;2;0
77;Roman;52;120;0;3;73;91;7;5;3
78;Connor;28;107;0;6;163;130;14;1;0
79;Jameson;48;231;4;7;186;191;7;4;0
80;Robert;40;133;0;1;102;112;7;5;4
81;Greyson;32;188;4;6;155;154;7;4;0
82;Jordan;49;118;0;2;102;105;7;5;3
83;Ian;40;84;0;2;136;105;7;4;0
84;Carson;41;104;0;2;92;93;7;4;0
85;Jaxson;44;111;0;2;158;129;5;5;4
86;Leonardo;35;132;0;2;104;113;5;5;3
87;Nicholas;53;193;4;2;62;110;5;3;0
88;Dominic;50;123;0;2;66;89;5;5;4
89;Austin;21;130;0;2;96;108;5;5;4
90;Everett;51;105;0;2;190;142;14;2;0
91;Brooks;20;193;4;2;103;130;14;0;0
92;Xavier;20;136;0;2;103;114;14;5;4
93;Kai;39;222;4;2;64;125;10;0;0
94;Jose;38;139;0;2;148;138;14;5;4
95;Parker;39;154;0;2;154;149;5;5;3
96;Adam;39;142;0;2;59;95;7;5;3
97;Jace;28;212;3;5;160;168;10;3;0
98;Wesley;44;147;0;2;70;103;10;5;3
99;Kayden;29;96;0;2;50;68;9;1;0
100;Silas;30;133;0;3;86;104;9;5;15
101;Bennett;50;50;0;0;178;114;9;3;0
102;Declan;24;53;0;0;134;93;10;4;0
103;Waylon;37;99;0;0;84;91;9;4;0
104;Weston;47;51;0;0;148;99;11;3;0
105;Evan;29;207;14;0;199;190;16;1;0
106;Emmett;23;71;0;0;191;131;9;2;0
107;Micah;50;224;14;0;51;125;9;0;0
108;Ryder;46;89;0;0;167;128;16;2;0
109;Beau;31;77;0;0;52;64;16;2;0
110;Damian;28;64;0;0;177;120;11;1;0
111;Brayden;26;214;11;0;173;181;11;3;0
112;Gael;45;140;0;0;119;129;10;5;11
113;Rowan;52;121;0;0;159;140;3;5;14
114;Harrison;39;197;4;0;136;154;3;4;0
115;Bryson;49;50;0;0;177;113;3;4;0
116;Sawyer;47;127;0;0;93;110;11;5;11
117;Amir;25;85;0;0;59;72;16;0;0
118;Kingston;42;50;0;0;167;108;9;3;0
119;Jason;35;88;0;0;51;69;10;3;0
120;Giovanni;39;105;0;0;111;108;4;5;11
121;Vincent;25;135;0;0;51;93;11;5;11
122;Ayden;39;122;0;0;168;145;5;5;11
123;Chase;48;135;0;0;153;144;3;5;11
124;Myles;40;138;0;0;80;109;5;5;11
125;Diego;24;117;0;0;64;90;3;5;11
126;Nathaniel;42;137;0;0;197;167;5;5;11
127;Legend;21;96;0;0;103;99;3;2;0
128;Jonah;51;97;0;0;95;96;5;4;0
129;River;52;201;11;0;159;167;3;3;0
130;Tyler;20;66;0;0;142;104;5;3;0
131;Cole;29;55;0;0;165;110;3;4;0
132;Braxton;23;185;11;0;80;120;5;4;0
133;George;39;123;0;0;65;94;3;5;14
134;Milo;29;206;14;0;198;189;3;1;0
135;Zachary;29;78;0;0;78;78;3;0;0
136;Ashton;23;59;0;0;61;60;3;4;0
137;Luis;53;134;0;0;74;104;5;5;11
138;Jasper;50;102;0;0;122;112;5;5;11
139;Kaiden;23;210;11;0;165;175;5;0;0
140;Adriel;28;104;0;0;53;78;5;5;14
141;Gavin;26;204;14;0;117;148;3;3;0
142;Bentley;49;134;0;0;195;164;3;5;14
143;Calvin;42;145;0;0;200;172;3;5;14
144;Zion;48;67;0;0;57;62;3;4;0
145;Juan;45;129;0;0;115;122;5;5;11
146;Maxwell;34;58;0;0;189;123;3;1;0
147;Max;30;180;14;0;156;155;6;3;0
148;Ryker;29;137;0;0;104;120;5;5;11
149;Carlos;22;112;0;0;179;145;14;5;14
150;Emmanuel;43;110;0;0;119;114;6;5;11
151;Jayce;44;90;0;0;126;108;11;3;0
152;Lorenzo;47;137;0;0;105;121;5;5;14
153;Ivan;42;70;0;0;139;104;3;1;0
154;Jude;49;66;0;0;121;93;8;0;0
155;August;27;147;0;0;76;111;6;5;14
156;Kevin;40;131;0;0;110;120;10;5;14
157;Malachi;20;86;0;0;69;77;3;4;0
158;Elliott;39;206;14;0;147;164;3;2;0
159;Rhett;45;200;14;0;156;165;3;1;0
160;Archer;24;202;14;0;69;123;3;4;0
161;Karter;42;113;0;0;52;82;3;5;14
162;Arthur;40;186;14;0;82;121;3;4;0
163;Luka;20;119;0;0;73;96;3;5;11
164;Elliot;24;139;0;0;58;98;3;5;11
165;Thiago;23;78;0;0;68;73;3;4;0
166;Brandon;27;116;0;0;120;118;3;5;11
167;Camden;45;139;0;0;148;143;3;5;11
168;Justin;22;109;0;0;98;103;3;5;14
169;Jesus;25;225;11;0;94;147;3;1;0
170;Maddox;27;128;0;0;148;138;3;5;14
171;King;32;99;0;0;183;141;3;2;0
172;Theo;28;52;0;0;84;68;3;1;0
173;Enzo;39;132;0;0;60;96;3;5;12
174;Matteo;30;58;0;0;192;125;3;4;0
175;Emiliano;51;202;11;0;144;160;3;4;0
176;Dean;45;202;11;0;191;184;3;0;0
177;Hayden;39;118;0;0;195;156;3;5;14
178;Finn;34;122;0;0;79;100;3;5;11
179;Brody;52;59;0;0;190;124;3;4;0
180;Antonio;32;179;14;0;62;108;3;1;0
181;Abel;40;148;0;0;188;168;3;5;14
182;Alex;34;76;0;0;67;71;3;2;0
183;Tristan;30;131;0;0;119;125;3;5;8
184;Graham;51;93;0;0;61;77;3;1;0
185;Zayden;31;91;0;0;102;96;3;4;0
186;Judah;27;137;0;0;113;125;3;5;14
187;Xander;44;65;0;0;159;112;3;4;0
188;Miguel;35;177;4;0;112;132;3;0;0
189;Atlas;48;145;0;0;144;144;13;5;4
190;Messiah;27;67;0;0;66;66;13;2;0
191;Barrett;21;88;0;0;144;116;13;3;0
192;Tucker;25;204;14;0;185;182;13;3;0
193;Timothy;32;132;0;0;63;97;13;5;14
194;Alan;40;97;0;0;51;74;13;4;0
195;Edward;45;137;0;0;104;120;13;5;14
196;Leon;53;65;0;0;197;131;13;1;0
197;Dawson;24;107;0;0;151;129;13;5;14
198;Eric;47;130;0;0;73;101;13;5;4
199;Ace;32;192;4;0;101;134;16;3;0
200;Victor;53;60;0;0;148;104;13;2;0
